;Type;adresse_1;commune_1;departement;code_departement;lat;long;appellation_courante;region
HIST18;Historical;13 rue Tiquetonne;Paris 2e Arrondissement;Paris;75;48.8640702387;2.34857645719;Immeuble;Île-de-France
HIST19;Historical;"9 rue Payenne ; 8 rue Elzevir";Paris 3e Arrondissement;Paris;75;48.8580609302;2.36183409124;Hôtel Donon;Île-de-France
HIST20;Historical;"76 rue des Archives ; 19, 21 rue Pastourelle";Paris 3e Arrondissement;Paris;75;48.8623939857;2.35991962963;Hôtel Le Pelletier de Souzy;Île-de-France
HIST21;Historical;70 rue des Archives;Paris 3e Arrondissement;Paris;75;48.861992408;2.35964845032;Hôtel de Michel Simon ou de Montescot;Île-de-France
HIST22;Historical;71 rue Quincampoix;Paris 3e Arrondissement;Paris;75;48.8620938504;2.35097351968;Immeuble;Île-de-France
HIST23;Historical;72 rue des Archives;Paris 3e Arrondissement;Paris;75;48.8622220963;2.35945388201;Maison;Île-de-France
HIST24;Historical;boulevard de Charonne;Paris 20e Arrondissement;Paris;75;48.8514825604;2.39817576429;Métropolitain, station Avron;Île-de-France
HIST25;Historical;;Aubepierre-Ozouer-le-Repos;Seine-et-Marne;77;48.6107599432;2.91055697114;Eglise Saint-Aubin d'Ozouer-le-Repos;Île-de-France
HIST26;Historical;;Augers-en-Brie;Seine-et-Marne;77;48.6796103011;3.35653304904;Eglise;Île-de-France
HIST27;Historical;;Barbizon;Seine-et-Marne;77;48.4440217579;2.60937463702;Atelier du peintre Jean-François Millet;Île-de-France
HIST28;Historical;"quai de la Gare ; rue de l'Abreuvoir";Bray-sur-Seine;Seine-et-Marne;77;48.4174791768;3.23481214141;Maison à pans de bois;Île-de-France
HIST29;Historical;;La Chapelle-la-Reine;Seine-et-Marne;77;48.3157999904;2.5682694402;Eglise;Île-de-France
HIST30;Historical;;Château-Landon;Seine-et-Marne;77;48.150420529;2.70919250724;Abbaye Saint-Séverin (ancienne);Île-de-France
HIST31;Historical;;Château-Landon;Seine-et-Marne;77;48.174924516;2.70474406334;Château de Chancepoix;Île-de-France
HIST32;Historical;;Chaumes-en-Brie;Seine-et-Marne;77;48.6661736317;2.84210457074;Eglise;Île-de-France
HIST33;Historical;62, 64 rue René-Boulanger;Paris 10e Arrondissement;Paris;75;48.8690288372;2.35875546372;Hôtel de Rosambo (ancien);Île-de-France
HIST34;Historical;66 rue René-Boulanger;Paris 10e Arrondissement;Paris;75;48.8697598046;2.35883670976;Ancien hôtel de Sechtré;Île-de-France
HIST35;Historical;16 rue du Faubourg-Saint-Denis;Paris 10e Arrondissement;Paris;75;48.8705811211;2.35324003558;Immeuble abritant le restaurant Julien;Île-de-France
HIST36;Historical;101 rue du Faubourg-Saint-Denis;Paris 10e Arrondissement;Paris;75;48.8747944421;2.35551612379;Immeuble;Île-de-France
HIST37;Historical;105 rue du Faubourg-Saint-Denis;Paris 10e Arrondissement;Paris;75;48.8750890952;2.35565209907;Immeuble;Île-de-France
HIST38;Historical;;Paris 11e Arrondissement;Paris;75;48.8690474708;2.38040432849;Métropolitain, station Couronnes;Île-de-France
HIST39;Historical;70 rue de la Roquette;Paris 11e Arrondissement;Paris;75;48.8556093417;2.3748530103;Fontaine de la Roquette;Île-de-France
HIST40;Historical;73 avenue des Gobelins;Paris 13e Arrondissement;Paris;75;48.8333790137;2.35452900875;Théâtre des Gobelins (ancien) , actuellement cinéma Fauvette;Île-de-France
HIST41;Historical;7, 7 bis place des Vosges;Paris 4e Arrondissement;Paris;75;48.8551702464;2.36420321411;Hôtel du Petit-Sully;Île-de-France
HIST42;Historical;17 quai de Bourbon;Paris 4e Arrondissement;Paris;75;48.8527309473;2.35598127208;Ancien hôtel;Île-de-France
HIST43;Historical;"19bis quai de Bourbon ; 28 rue Le-Regrattier";Paris 4e Arrondissement;Paris;75;48.8528876272;2.35537600809;Immeuble;Île-de-France
HIST44;Historical;30 rue François-Miron;Paris 4e Arrondissement;Paris;75;48.855504413;2.35639100117;Immeubles sur cour;Île-de-France
HIST45;Historical;15 rue des Lombards;Paris 4e Arrondissement;Paris;75;48.8591878518;2.3495381283;Immeuble;Île-de-France
HIST46;Historical;23 rue des Rosiers;Paris 4e Arrondissement;Paris;75;48.8574454853;2.35885702483;Immeuble;Île-de-France
HIST47;Historical;"2 rue Perdonnet ; 24 rue Cail";Paris 10e Arrondissement;Paris;75;48.8829361034;2.35946994685;Boucherie;Île-de-France
HIST48;Historical;4 rue d'Alleray;Paris 15e Arrondissement;Paris;75;48.8386141705;2.30060331529;Boucherie;Île-de-France
HIST49;Historical;33 rue du Pont-Neuf;Paris 1er Arrondissement;Paris;75;48.8613453378;2.34488303322;Bar-restaurant Au chien qui fume;Île-de-France
HIST50;Historical;43 rue Croix-des-Petits-Champs;Paris 1er Arrondissement;Paris;75;48.8652217162;2.34070577638;Immeuble;Île-de-France
HIST51;Historical;"17 rue des Lavandières-Sainte-Opportune ; 1 rue des Deux-Boules";Paris 1er Arrondissement;Paris;75;48.8588122082;2.34602385101;Immeuble;Île-de-France
HIST52;Historical;1 rue Jehan-de-Brie;Fontenay-Trésigny;Seine-et-Marne;77;48.707458;2.860163;Ancien château du duc d'Epernon, dit aussi Ancien château des Sources;Île-de-France
HIST53;Historical;"7 place de la Fontaine ; 8 place de l'Hotel-de-Ville";Lagny-sur-Marne;Seine-et-Marne;77;48.8773231776;2.7049379491;Immeuble;Île-de-France
HIST54;Historical;;Montceaux-lès-Provins;Seine-et-Marne;77;48.694934346;3.4365333654;Eglise Saint-Germain;Île-de-France
HIST55;Historical;5 rue du Petit-Chaudron;Montereau-Fault-Yonne;Seine-et-Marne;77;48.3862714286;2.9560892262;Maison;Île-de-France
HIST56;Historical;23 rue Port-des-Fossés;Montereau-Fault-Yonne;Seine-et-Marne;77;48.3882760084;2.95290984366;Maison de la Levrette ou maison des Récollets;Île-de-France
HIST57;Historical;Grande-Rue;Nantouillet;Seine-et-Marne;77;49.001307154;2.70390261909;Eglise Saint-Denis;Île-de-France
HIST58;Historical;2 rue de Savigny;Provins;Seine-et-Marne;77;48.5622719826;3.28785871717;Château de la Reine Blanche (ancien);Île-de-France
HIST59;Historical;144 rue Mouffetard;Paris 5e Arrondissement;Paris;75;48.8399321175;2.35049635101;Eglise Saint-Médard;Île-de-France
HIST60;Historical;27 rue Lhomond;Paris 5e Arrondissement;Paris;75;48.843113803;2.34700751912;Hôtel Saint-Haure (ancien) ou des Dames de Sainte-Aure;Île-de-France
HIST61;Historical;;Juziers;Yvelines;78;48.9924833736;1.83033804393;Maison du 18s dite le Mesnil-Saint-Laurent;Île-de-France
HIST62;Historical;;Limay;Yvelines;78;49.0000674266;1.7346469149;Château des Célestins;Île-de-France
HIST63;Historical;;Louveciennes;Yvelines;78;48.8624426119;2.10910968676;Aqueduc;Île-de-France
HIST64;Historical;;Maule;Yvelines;78;48.9087184669;1.84956376341;Prieuré Notre-Dame (ancien);Île-de-France
HIST65;Historical;14 rue Saint-Jean;Provins;Seine-et-Marne;77;48.5621915221;3.28581650405;Refuge de Preuilly (ancien);Île-de-France
HIST66;Historical;6 rue du Palais;Provins;Seine-et-Marne;77;48.561706;3.290438;Tribunal ecclésiastique (ancien);Île-de-France
HIST67;Historical;;Saint-Augustin;Seine-et-Marne;77;48.7686459455;3.02187847352;Chapelle Sainte-Aubiège;Île-de-France
HIST68;Historical;;Saint-Augustin;Seine-et-Marne;77;48.7611363715;3.02415100329;Obélisque;Île-de-France
HIST69;Historical;place Renoux-Bernard;Saint-Mammès;Seine-et-Marne;77;48.3887908254;2.80787376144;Eglise;Île-de-France
HIST70;Historical;;Saint-Thibault-des-Vignes;Seine-et-Marne;77;48.8685931027;2.68882418839;Eglise;Île-de-France
HIST71;Historical;;Servon;Seine-et-Marne;77;48.7169671089;2.58620875253;Eglise Sainte-Colombe;Île-de-France
HIST72;Historical;;Coulombs-en-Valois;Seine-et-Marne;77;49.1020637797;3.13347765994;Eglise Saint-Pierre;Île-de-France
HIST73;Historical;;Verdelot;Seine-et-Marne;77;48.8481990378;3.37976531109;Château de Launoy-Renault;Île-de-France
HIST74;Historical;Grande-Rue 82;Voulx;Seine-et-Marne;77;48.2792617106;2.96826174437;Maison dite des Dimes;Île-de-France
HIST75;Historical;;Treuzy-Levelay;Seine-et-Marne;77;48.2842991201;2.81935751393;Tuilerie de Bezanleu : les bâtiments;Île-de-France
HIST76;Historical;59 rue Royale;Versailles;Yvelines;78;48.7966605919;2.12630669081;Immeuble;Île-de-France
HIST77;Historical;;Boissy-le-Sec;Essonne;91;48.478465817;2.08923372347;Eglise Saint-Louis;Île-de-France
HIST78;Historical;;Chalo-Saint-Mars;Essonne;91;48.4271965751;2.06798867703;Eglise;Île-de-France
HIST79;Historical;;Chalou-Moulineux;Essonne;91;48.3842355955;2.02276768222;Eglise de Chalou;Île-de-France
HIST80;Historical;;Corbeil-Essonnes;Essonne;91;48.6118980465;2.48269474188;Eglise ou Cathédrale Saint-Spire;Île-de-France
HIST81;Historical;;Fontenay-le-Vicomte;Essonne;91;48.5486503157;2.39752430123;Eglise;Île-de-France
HIST82;Historical;;Lardy;Essonne;91;48.5208551762;2.2879852672;Pont Cornuel (également sur commune de Bouray-sur-Juine);Île-de-France
HIST83;Historical;4 rue Jean-Raynal;Morsang-sur-Orge;Essonne;91;48.6647845625;2.35174279033;Château de Morsang;Île-de-France
HIST84;Historical;2 rue d'Estienne-d'Orves;Verrières-le-Buisson;Essonne;91;48.7502325976;2.26862660802;Château;Île-de-France
HIST85;Historical;8 rue Denfert-Rochereau;Boulogne-Billancourt;Hauts-de-Seine;92;48.8471194468;2.24254474931;Maison Collinet;Île-de-France
HIST86;Historical;43 rue des Abondances;Boulogne-Billancourt;Hauts-de-Seine;92;48.8474349194;2.23015225195;Synagogue;Île-de-France
HIST87;Historical;39, 41 boulevard du Général-Leclerc;Clichy;Hauts-de-Seine;92;48.9013068651;2.31466023336;Maison du Peuple;Île-de-France
HIST88;Historical;98 avenue Pierre-Brossolette;Malakoff;Hauts-de-Seine;92;48.8180662234;2.30791111072;Hôtel (ancien);Île-de-France
HIST89;Historical;27 rue du Bel-Air;Meudon;Hauts-de-Seine;92;48.8141557747;2.22965995915;Immeuble;Île-de-France
HIST90;Historical;14 rue Petau-de-Maulette;Montfort-l'Amaury;Yvelines;78;48.7761822122;1.80884393783;Hôtel (ancien);Île-de-France
HIST91;Historical;;Morainvilliers;Yvelines;78;48.9283521238;1.93545557083;Eglise;Île-de-France
HIST92;Historical;;Rochefort-en-Yvelines;Yvelines;78;48.586688853;1.99062575825;Château;Île-de-France
HIST93;Historical;;Saint-Germain-en-Laye;Yvelines;78;48.9395266273;2.09648433387;Croix de Noailles;Île-de-France
HIST94;Historical;10, 12 rue de Paris;Saint-Germain-en-Laye;Yvelines;78;48.895684989;2.09204090065;Hôtel de Créqui (ancien);Île-de-France
HIST95;Historical;"place Royale ; avenue Maréchal-de-Lattre-de-Tassigny";Saint-Germain-en-Laye;Yvelines;78;48.8945768364;2.0997125083;Ancien manège royal;Île-de-France
HIST96;Historical;;Coupvray;Seine-et-Marne;77;48.8868875726;2.79199067068;Ferme du Couvent;Île-de-France
HIST97;Historical;;Coupvray;Seine-et-Marne;77;48.894490529;2.79198271174;Maison natale de Louis Braille;Île-de-France
HIST98;Historical;;Cucharmoy;Seine-et-Marne;77;48.5824457446;3.19293894056;Eglise Sainte-Geneviève;Île-de-France
HIST99;Historical;;Dammartin-en-Goële;Seine-et-Marne;77;49.0539326442;2.67735522352;Eglise Saint-Jean-Baptiste;Île-de-France
HIST100;Historical;;Doue;Seine-et-Marne;77;48.868623397;3.16731701357;Eglise Saint-Martin;Île-de-France
HIST101;Historical;;Egligny;Seine-et-Marne;77;48.4267424124;3.12017010718;Eglise;Île-de-France
HIST102;Historical;;Egreville;Seine-et-Marne;77;48.1739202246;2.86742755904;Château;Île-de-France
HIST103;Historical;;Flagy;Seine-et-Marne;77;48.3123053598;2.92255748036;Eglise;Île-de-France
HIST104;Historical;1 rue de l'Ermitage;Versailles;Yvelines;78;48.8141245785;2.12274008459;Chapelle dite de l'Hermitage;Île-de-France
HIST105;Historical;2, 4 rue des Réservoirs;Versailles;Yvelines;78;48.805828141;2.12361084816;Hôtel du Gouvernement, dit Hôtel R, actuellement Chefferie du Génie;Île-de-France
HIST106;Historical;52 rue Royale;Versailles;Yvelines;78;48.7967794101;2.12596286983;Immeuble;Île-de-France
HIST107;Historical;14 rue Servandoni;Paris 6e Arrondissement;Paris;75;48.8498570561;2.3347118138;Maison;Île-de-France
HIST108;Historical;28 rue Clerc;Paris 7e Arrondissement;Paris;75;48.8572586747;2.30606967604;Ancienne boucherie chevaline;Île-de-France
HIST109;Historical;2 rue de Chanaleilles;Paris 7e Arrondissement;Paris;75;48.8533038633;2.31886151078;Hôtel de Chanaleilles;Île-de-France
HIST110;Historical;7 rue Royale;Paris 8e Arrondissement;Paris;75;48.8675882888;2.32242567706;Immeuble;Île-de-France
HIST111;Historical;2bis rue du Conservatoire;Paris 9e Arrondissement;Paris;75;48.8727482039;2.34702319934;Ancien conservatoire National de Musique et de Déclamation;Île-de-France
HIST112;Historical;26 rue Buffault;Paris 9e Arrondissement;Paris;75;48.8760156879;2.34223972844;Immeuble;Île-de-France
HIST113;Historical;"2, 4 rue de la Chaussée-d'Antin ; 38 boulevard des Italiens";Paris 9e Arrondissement;Paris;75;48.8713441028;2.33417707814;Immeuble;Île-de-France
HIST114;Historical;22 rue Pasquier;Paris 8e Arrondissement;Paris;75;48.8737153771;2.32270879053;Chapelle expiatoire;Île-de-France
HIST115;Historical;25 avenue des Champs-Elysées;Paris 8e Arrondissement;Paris;75;48.8692054913;2.3075879672;Hôtel Païva;Île-de-France
HIST116;Historical;16 rue Saint-Etienne-du-Mont;Paris 5e Arrondissement;Paris;75;48.8467389266;2.34815139706;Immeuble;Île-de-France
HIST117;Historical;7 rue Valette;Paris 5e Arrondissement;Paris;75;48.8476265089;2.347383775;Imprimerie royale de Musique (ancienne);Île-de-France
HIST118;Historical;85 rue de Vaugirard;Paris 6e Arrondissement;Paris;75;48.8459436906;2.32342810352;Ecole (ancienne);Île-de-France
HIST119;Historical;95 rue du Cherche-Midi;Paris 6e Arrondissement;Paris;75;48.8467702345;2.32157607594;Hôtel de Chambon;Île-de-France
HIST120;Historical;5 quai Malaquais;Paris 6e Arrondissement;Paris;75;48.8574831332;2.33573666785;Hôtel de Garsaulan (ancien);Île-de-France
HIST121;Historical;;Trilbardou;Seine-et-Marne;77;48.9438828659;2.80480217702;Eglise paroissiale Sainte-Geneviève;Île-de-France
HIST122;Historical;53 rue Charles-Dupuy;Triel-sur-Seine;Yvelines;78;48.9777733921;2.00545526966;Chapelle Sainte-Anne;Île-de-France
HIST123;Historical;;Saint-Sulpice-de-Favières;Essonne;91;48.5458928847;2.17690788788;Domaine de Segrez;Île-de-France
HIST124;Historical;4 rue de l'Elysée;Paris 8e Arrondissement;Paris;75;48.8691411294;2.3169857879;Immeuble;Île-de-France
HIST125;Historical;;Rambouillet;Yvelines;78;48.646602511;1.82396644736;Eglise Saint-Lubin et Saint-Jean-Baptiste;Île-de-France
HIST126;Historical;26 rue Troyon;Sèvres;Hauts-de-Seine;92;48.8251984107;2.22698256305;Collège arménien;Île-de-France
HIST127;Historical;;Epiais-Rhus;Val-d'Oise;95;49.1352533049;2.08425956843;Site archéologique gallo-romain (également sur commune de Vallangoujard);Île-de-France
HIST128;Historical;avenue des Etats-Unis;Versailles;Yvelines;78;48.813501339;2.15543416742;Monument Pershing - Lafayette;Île-de-France
HIST129;Historical;"3 place Franz-Liszt ; 108 rue Lafayette";Paris 10e Arrondissement;Paris;75;48.8775427462;2.35116948369;Immeuble;Île-de-France
HIST130;Historical;2 rue de la Queue-du-Loup;Montigny-le-Guesdier;Seine-et-Marne;77;48.3836662981;3.25535695556;Grange dîmière de la ferme de Malesherbes;Île-de-France
HIST131;Historical;;Lardy;Essonne;91;48.522799224;2.26407745866;Parc Boussard;Île-de-France
HIST132;Historical;2 rue de l'Eglise;Rungis;Val-de-Marne;94;48.7473203819;2.34998392251;Eglise Notre-Dame de l'Assomption;Île-de-France
HIST133;Historical;;Montgeron;Essonne;91;48.7148241824;2.45132138109;Moulin de Senlis;Île-de-France
HIST134;Historical;;Couilly-Pont-aux-Dames;Seine-et-Marne;77;48.8846211287;2.86016108492;Eglise Saint-Georges;Île-de-France
HIST135;Historical;125 rue Saint-Martin;Paris 4e Arrondissement;Paris;75;48.8608582076;2.35118432537;Immeuble;Île-de-France
HIST136;Historical;121 rue Saint-Martin;Paris 4e Arrondissement;Paris;75;48.8607283805;2.35111304891;Immeuble;Île-de-France
HIST137;Historical;113 rue Saint-Martin;Paris 4e Arrondissement;Paris;75;48.860512463;2.3509960434;Immeuble;Île-de-France
HIST138;Historical;"quai du Louvre ; avenue du Général-Lemonier ; rue de Rivoli";Paris 1er Arrondissement;Paris;75;48.8627008026;2.3299279746;Palais du Louvre et jardin des Tuileries;Île-de-France
HIST139;Historical;;Paris 7e Arrondissement;Paris;75;48.8636711153;2.3135477926;Pont Alexandre III;Île-de-France
HIST140;Historical;;Paris 4e Arrondissement;Paris;75;48.8529368745;2.35005140679;Cathédrale Notre-Dame;Île-de-France
HIST141;Historical;;Paris 16e arrondissement;Paris;75;48.847179216;2.26949697015;Église Notre-Dame-d'Auteuil;Île-de-France
HIST142;Historical;"74 quai Louis Blériot ; 75-93 avenue de Versailles";Paris 16e Arrondissement;Paris;75;48.846352;2.273566;Usine des eaux d’Auteuil;Île-de-France
HIST143;Historical;"22 à 30 rue de l'Yser ; 99 à 111 rue du Lieutenant-Colonel-de-Montbrison";Rueil-Malmaison;Hauts-de-Seine;92;48.861858;2.196041;Hippodrome de Saint-Cloud (également sur commune de Saint-Cloud);Île-de-France
HIST144;Historical;17 rue du Cherche-Midi;Paris 6e Arrondissement;Paris;75;48.8508795071;2.32912450015;Immeuble ou ancien hôtel de Saint-Simon, de Mecklenbourg ou de Chamilly;Île-de-France
HIST145;Historical;52 rue du Sergent-Bobillot;Montreuil;Seine-Saint-Denis;93;48.8541544962;2.43297172188;Ancien studio de cinéma Pathé-Albatros;Île-de-France
HIST146;Historical;15, 17 place Vendôme;Paris 1er Arrondissement;Paris;75;48.867819;2.330114;Anciens hôtels de Gramont et Crozat, actuellement hôtel Ritz;Île-de-France
HIST147;Historical;"24 rue Saint-Victor ; 28 rue de Pontoise";Paris 5e Arrondissement;Paris;75;48.8488083732;2.35082477607;Maison de la Mutualité ou Palais de la Mutualité;Île-de-France
HIST148;Historical;;Charenton-le-Pont;Val-de-Marne;94;48.823948;2.407129;Pavillon d'Antoine de Navarre;Île-de-France
HIST149;Historical;"12 rue Victor-Hugo ; rue Victor-Basch";Nogent-sur-Marne;Val-de-Marne;94;48.8329059312;2.47523753599;Pavillon Baltard;Île-de-France
HIST150;Historical;57 rue du Maréchal-Leclerc;Saint-Maurice;Val-de-Marne;94;48.8191232538;2.42916099026;Hôpital Esquirol (ancien asile de Charenton);Île-de-France
HIST151;Historical;"9 allée Danièle-Casanova ; 60 avenue Aristide-Briand";Les Pavillons-sous-Bois;Seine-Saint-Denis;93;48.909497;2.505591;Ancien parc à l'anglaise du duc d'Orléans;Île-de-France
HIST152;Historical;;Viarmes;Val-d'Oise;95;49.1258919372;2.36872330418;Ancien château, actuelle mairie;Île-de-France
HIST153;Historical;;Villeron;Val-d'Oise;95;49.0542802513;2.53360892999;Domaine de la grange cistercienne de Vollerand;Île-de-France
HIST154;Historical;;Nesles-la-Vallée;Val-d'Oise;95;49.149243004;2.19161381908;Polissoir de la forêt du Lay;Île-de-France
HIST155;Historical;;Omerville;Val-d'Oise;95;49.1508980783;1.72943530733;Commanderie des Templiers (ancienne);Île-de-France
HIST156;Historical;"85 rue Basse ; ruelle des Enfermés";Pontoise;Val-d'Oise;95;49.0493802262;2.09481483084;Hôpital des Enfermés (ancien);Île-de-France
HIST157;Historical;;La Roche-Guyon;Val-d'Oise;95;49.082424;1.63184;Château;Île-de-France
HIST158;Historical;10 rue de Strasbourg;Saint-Denis;Seine-Saint-Denis;93;48.936024;2.365996;Immeuble;Île-de-France
HIST159;Historical;;Stains;Seine-Saint-Denis;93;48.9583919758;2.38181493279;Château de la Motte (ancien);Île-de-France
HIST160;Historical;;Stains;Seine-Saint-Denis;93;48.9554736377;2.38226503329;Mairie;Île-de-France
HIST161;Historical;;Ableiges;Val-d'Oise;95;49.0884366629;1.98218372336;Eglise;Île-de-France
HIST162;Historical;;Arronville;Val-d'Oise;95;49.1578548257;2.11120202515;Domaine de Balincourt (également sur commune de Menouville);Île-de-France
HIST163;Historical;place du Château;Beaumont-sur-Oise;Val-d'Oise;95;49.1439784521;2.28608840277;Château féodal;Île-de-France
HIST164;Historical;;Courcelles-sur-Viosne;Val-d'Oise;95;49.0758049139;2.00411446417;Eglise;Île-de-France
HIST165;Historical;;Courdimanche;Val-d'Oise;95;49.035347446;2.00144196365;Eglise Saint-Martin;Île-de-France
HIST166;Historical;;Hodent;Val-d'Oise;95;49.1453453582;1.76814566982;Chapelle Sainte-Marguerite;Île-de-France
HIST167;Historical;"21, 23 rue du Jour ; 70 rue Jean-Jacques-Rousseau";Paris 1er Arrondissement;Paris;75;48.8641741953;2.3448145513;Enceinte de Philippe-Auguste;Île-de-France
HIST168;Historical;;Paris 1er Arrondissement;Paris;75;48.8607150964;2.34787382539;Fontaine des Innocents;Île-de-France
HIST169;Historical;1 place des Victoires;Paris 1er Arrondissement;Paris;75;48.8654917089;2.34077706229;Ancien hôtel Charlemagne;Île-de-France
HIST170;Historical;3 place des Victoires;Paris 1er Arrondissement;Paris;75;48.865402749;2.34108712338;Ancien hôtel de Soyecourt;Île-de-France
HIST171;Historical;39 rue Croix-des-Petits-Champs;Paris 1er Arrondissement;Paris;75;48.8649036815;2.34013187339;Ancien hôtel de Toulouse;Île-de-France
HIST172;Historical;97 rue de Richelieu;Paris 2e Arrondissement;Paris;75;48.8712627157;2.33958819424;Immeuble, anciennement hôtel de l'Europe et des Princes;Île-de-France
HIST173;Historical;7 rue Charlot;Paris 3e Arrondissement;Paris;75;48.8612257429;2.36011858924;Hôtel Cornuel, dit aussi hôtel de Tourolle;Île-de-France
HIST174;Historical;6 rue du Parc-Royal;Paris 3e Arrondissement;Paris;75;48.858472446;2.36358399411;Hôtel de Vouvray (ancien);Île-de-France
HIST175;Historical;"58 rue de Turenne ; 24 rue Villehardouin";Paris 3e Arrondissement;Paris;75;48.858843925;2.36461847337;Immeuble;Île-de-France
HIST176;Historical;8 rue de Saintonge;Paris 3e Arrondissement;Paris;75;48.8612162577;2.36204762237;Maison;Île-de-France
HIST177;Historical;124 rue Saint-Charles;Paris 15e Arrondissement;Paris;75;48.8441689762;2.2832321827;Crèmerie;Île-de-France
HIST178;Historical;"place du Trocadéro ; avenue du Président-Wilson ; avenue Albert-de-Mün ; rue Franklin";Paris 16e Arrondissement;Paris;75;48.8618462141;2.28794806785;Palais de Chaillot;Île-de-France
HIST179;Historical;"21 rue Saint-Antoine ; 38, 40 rue du Petit-Musc";Paris 4e Arrondissement;Paris;75;48.8532148332;2.36542245869;Ancien hôtel de Mayenne, actuellement Ecole des Francs-Bourgeois;Île-de-France
HIST180;Historical;"44, 46, 48 rue François-Miron ; 31 rue Geoffroy-l'Asnier";Paris 4e Arrondissement;Paris;75;48.8555273645;2.35715310468;Hôtel d'Ourscamp ou de Marsande, dit aussi Maison de l'Ours;Île-de-France
HIST181;Historical;"3 rue des Juges-Consuls ; 5 rue du Cloître-Saint-Merri";Paris 4e Arrondissement;Paris;75;48.8588561915;2.35142046876;Maison;Île-de-France
HIST182;Historical;"57 rue Saint-Martin ; 2, 4 rue Lombards";Paris 4e Arrondissement;Paris;75;48.8590860893;2.35012533744;Immeuble;Île-de-France
HIST183;Historical;32 rue Montpensier;Paris 1er Arrondissement;Paris;75;48.865641;2.337294;Immeuble, en bordure du Palais-Royal;Île-de-France
HIST184;Historical;4 rue des Moulins;Paris 1er Arrondissement;Paris;75;48.8665769015;2.33503982808;Immeuble;Île-de-France
HIST185;Historical;"4 place de Valois ; 7 rue des Bons-Enfants";Paris 1er Arrondissement;Paris;75;48.8629396034;2.33813509583;Immeuble;Île-de-France
HIST186;Historical;place des Victoires;Paris 1er Arrondissement;Paris;75;48.8657673621;2.3411780941;Place des Victoires : le sol;Île-de-France
HIST187;Historical;4 rue Vide-Gousset;Paris 2e Arrondissement;Paris;75;48.8662054151;2.34140556234;Ancien hôtel Rambouillet de la Sablière, ou hôtel Clairambault;Île-de-France
HIST188;Historical;6 rue du Hanovre;Paris 2e Arrondissement;Paris;75;48.8702372181;2.33547917772;Immeuble;Île-de-France
HIST189;Historical;18 rue Saint-Marc;Paris 2e Arrondissement;Paris;75;48.8704762555;2.34029539888;Immeuble;Île-de-France
HIST190;Historical;51 rue de Paradis;Paris 10e Arrondissement;Paris;75;48.8754904879;2.3490242329;Maison ou ancien hôtel de Raguse;Île-de-France
